id,n_crop,n_disease,n_medicine
1-1,[],[],['黄腐酸']
1-2,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
2-1,[],[],[]
2-2,[],['病毒病'],"['氨基寡糖素', '宁南霉素']"
3-1,[],[],"['生物菌肥', '芸苔素内酯']"
3-2,[],['用药不当'],['碧护']
4-1,[],[],['微生物菌剂']
4-2,[],['高温干旱'],"['糖醇钙', '硫酸铜', '螯合钙']"
5-1,[],"['果腐病', '发病初期']","['噻唑锌', '生菌素', '春雷霉素', '叶枯唑', '氯溴异氰尿酸', '松脂酸铜', '噻菌铜']"
5-2,[],['果腐病'],"['喹啉铜', '叶枯唑', '乙蒜素', '嘧霉胺', '王铜', '噻菌铜', '春雷霉素', '喹啉铜']"
6-1,[],"['根腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵', '络氨铜', '硫酸铜钙']"
6-2,[],"['根腐病', '茎基腐病']",[]
7-1,[],['疫病'],"['烯酰吗啉', '锰锌', '吡唑醚菌酯', '锰锌', '烯酰', '锰锌', '氰霜唑']"
7-2,[],['疫病'],"['普力克', '可杀得', '霜灵', '克露', '杀毒矾', '霜灵']"
8-1,[],"['土壤盐渍化', '积累中毒']","['叶缘', '微生物菌剂']"
8-2,[],"['根系不好', '枯草芽孢杆菌']","['腐植酸', '碧护']"
9-1,[],"['根系发育不良', '枯草芽孢杆菌']",[]
9-2,[],"['根系不好', '枯草芽孢杆菌']","['氨基酸', '碧护']"
10-1,[],"['根系发育不良', '枯草芽孢杆菌']",[]
10-2,['辣椒'],['根腐病'],"['杀菌剂', '乙蒜素', '甲基硫菌灵', '溴菌腈', '碧护']"
11-1,[],['用药不当'],['碧护']
11-2,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
12-1,[],['日烧病'],['微生物菌剂']
12-2,[],['灼果'],['合钙肥']
13-1,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '普力克', '雷多米尔', '湿性粉剂', '霜疫清', '湿性粉剂', '百菌清', '湿性粉剂', '甲霜灵', '湿性粉剂', '克露', '湿性粉剂', '肟菌酯', '锰锌', '湿性粉剂']"
13-2,[],['疫病'],"['烯酰吗啉', '霜霉威']"
14-1,[],"['脐腐病', '缺钙']","['氨基酸', '糖醇钙', '碧护', '磷酸二氢钾']"
14-2,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '普力克', '雷多米尔', '湿性粉剂', '霜疫清', '湿性粉剂', '百菌清', '湿性粉剂', '甲霜灵', '湿性粉剂', '克露', '湿性粉剂', '肟菌酯', '锰锌', '湿性粉剂']"
15-1,[],"['枯萎病', '根腐病', '青枯病']",[]
15-2,[],['青枯病'],"['腐植酸', '碧护', '磷酸二氢钾']"
16-1,[],['缺硼'],"['速乐硼', '螯合钙', '磷酸二氢钾']"
16-2,[],['高温灼伤'],['微生物菌剂']
17-1,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
18-1,[],['炭疽病'],"['碧护', '肟菌戊唑醇', '磷酸二氢钾', '氨基酸叶面肥']"
18-2,[],"['炭疽病', '炭疽']","['咪鲜胺锰盐', '苯甲溴菌腈', '腐霉利', '溴菌腈', '啶氧菌酯', '吡唑醚菌酯']"
18-3,[],['炭疽病'],"['碧护', '肟菌戊唑醇', '磷酸二氢钾', '氨基酸叶面肥']"
19-1,[],['煤污病'],"['腐霉利', '联苯菊酯', '螺虫乙酯', '噻虫嗪']"
19-2,[],[],"['生物菌肥', '芸苔素内酯']"
19-3,[],['煤污病'],"['腐霉利', '联苯菊酯', '螺虫乙酯', '噻虫嗪']"
20-1,[],"['根腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
20-2,[],"['疫霉', '茎基腐病']","['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
20-3,[],"['根腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
21-1,[],['霜霉病'],"['银发利', '锰锌', '锰锌', '锰锌', '嘧菌酯', '氰霜唑', '霜脲氰', '烯酰吗啉', '氟吗啉', '杀菌剂']"
21-2,[],['霜霉病'],['克露']
21-3,[],['霜霉病'],"['银发利', '锰锌', '锰锌', '锰锌', '嘧菌酯', '氰霜唑', '霜脲氰', '烯酰吗啉', '氟吗啉', '杀菌剂']"
22-1,[],['枯草芽孢杆菌'],['腐植酸']
22-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
22-3,[],['枯草芽孢杆菌'],['腐植酸']
23-1,[],[],[]
23-2,[],['供应不足'],['磷酸二氢钾']
23-3,[],[],[]
24-1,[],['疫病危害'],[]
24-2,[],[],"['钾肥', '碧护', '速乐硼', '鳌合钙']"
24-3,[],['疫病危害'],[]
25-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
26-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
26-2,[],['用药不当'],"['碧护', '芸苔素内酯']"
26-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
27-1,[],"['茎基腐病', '枯草芽孢杆菌']",['恶霉灵']
27-2,[],"['疫霉', '茎基腐病']","['氰霜唑', '锰锌', '湿性粉剂']"
28-1,[],[],['生物菌肥']
28-3,[],[],['生物菌肥']
29-1,[],"['脐腐病', '缺钙']",['螯合钙']
29-2,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
29-3,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
30-1,[],"['根系发育不良', '枯草芽孢杆菌']",[]
30-2,[],['施药不当'],['微生物菌剂']
30-3,[],"['根系发育不良', '枯草芽孢杆菌']",[]
31-1,[],[],"['氨基寡糖素', '宁南霉素']"
31-2,[],[],"['氨基酸', '十芸苔素', '碧护']"
31-3,[],[],"['氨基寡糖素', '宁南霉素']"
32-1,[],['用药不当'],"['碧护', '芸苔素内酯', '氨基酸叶面肥', '黄腐酸', '叶面肥', '磷酸二氢钾']"
32-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
32-3,[],['用药不当'],"['碧护', '芸苔素内酯', '氨基酸叶面肥', '黄腐酸', '叶面肥', '磷酸二氢钾']"
33-1,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
33-2,[],"['茎基腐病', '土壤病', '枯草芽孢杆菌']","['恶霉灵', '多抗霉素']"
33-3,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
34-1,[],['蚜虫'],[]
34-2,[],"['蚜虫', '氟啶虫']",['吡蚜酮']
34-3,[],"['蚜虫', '氟啶虫']",['吡蚜酮']
35-1,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
35-2,[],"['霜霉病', '霜霉病']","['丙森锌', '代森锌', '嘧菌酯', '甲霜灵', '精甲霜灵', '烯酰吗啉', '氟吗啉', '霜霉威']"
35-3,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
36-1,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
36-2,[],"['根腐病', '枯草芽孢杆菌']","['甲霜灵', '恶霉灵', '络氨铜', '氨基酸']"
36-3,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
37-1,[],"['脐腐病', '脐腐病', '缺钙']","['氨基酸', '螯合钙']"
37-2,[],"['缺钙', '脐腐病']",[]
37-3,[],"['脐腐病', '脐腐病', '缺钙']","['氨基酸', '螯合钙']"
38-1,[],['用药不当'],['碧护']
38-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
